Metric,MIP,B.Greedy,G+Roulette,G+LNS
Lots,350,350,350,350
Products,32,32,32,32
Setup Time,145:30:00,112:00:00,126:00:00,99:00:00
Setup Count,291,224,252,198
Product-Machine Pairs,265,231,242,224
Moving Time,12:10:00,20:04:00,18:53:00,18:03:00
Moving Count,67,102,93,95
Proc Time,8075:12:45,8417:14:50,8285:05:40,8340:21:05
Processing (sec),29070765.00,30302090.00,29826340.00,30025265.00
Total Time (sec),29638365.00,30777530.00,30347920.00,30446645.00
Average Flow Time (sec),312319.30,324996.31,318365.19,290947.91
Makespan,501:47:25,361:56:10,324:19:15,370:09:10
Schedule Span,493:47:25,353:56:10,316:19:15,362:09:10
Tardiness,7159:43:40,8402:05:40,5110:09:50,4563:46:40
Tardy Lots,75,114,87,77
Objective,150088314.99990648,129613135.0,85186145.0,72132465.0
Solve Time,635.90s,2.24s,39.31s,265.25s
Number of Iterations,-,1,100,100
Best Iteration Found,-,1,55,99
Number of Updates,-,0,7,35
Absolute Gap vs Best,77955849.999906,57480670.000000,13053680.000000,0.000000
RPD vs Best (%),108.0732%,79.6877%,18.0968%,0.0000%
MIP Gap,86.45%,-,-,-
